pozisyon,sirket,sehir,aciklama,gereksinimler
Veri Analisti,BüyükVeri Ltd.,Eskişehir,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi"
Makine Öğrenmesi Uzmanı,Mobilify,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık"
Veri Analisti,Techsoft,Eskişehir,Belirtilmemiş,Belirtilmemiş
Mobil Uygulama Geliştiricisi,Techsoft,İzmir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği"
Web Geliştirici,KodaYazılım,Kocaeli,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Java Yazılım Mühendisi,VeriPlus,Antalya,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi"
Frontend Developer,DataTech,Kocaeli,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe"
Frontend Developer,DeepAI,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Veri Analisti,Mobilify,Ankara,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,Mobilify,İzmir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Veri Mühendisi,Mobilify,Antalya,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Mobil Uygulama Geliştiricisi,KodaYazılım,İzmir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,WebZone,Antalya,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe"
Python Geliştiricisi,KodaYazılım,Bursa,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Veri Analisti,BüyükVeri Ltd.,İzmir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,Mobilify,Eskişehir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe"
Java Yazılım Mühendisi,VeriPlus,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe"
Mobil Uygulama Geliştiricisi,DataTech,Bursa,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Veri Analisti,WebZone,Ankara,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,VeriPlus,Eskişehir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Mobil Uygulama Geliştiricisi,DataTech,Eskişehir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Java Yazılım Mühendisi,Techsoft,Antalya,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık"
Veri Analisti,Techsoft,Eskişehir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Analitik düşünme yeteneği, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Web Geliştirici,Mobilify,Antalya,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi"
Veri Analisti,VeriPlus,Antalya,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Problem çözme becerisi"
Makine Öğrenmesi Uzmanı,Techsoft,Antalya,Belirtilmemiş,Belirtilmemiş
Frontend Developer,WebZone,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Web Geliştirici,Mobilify,Eskişehir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi"
Veri Analisti,DeepAI,Ankara,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık"
Veri Mühendisi,DeepAI,Antalya,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Python Geliştiricisi,BüyükVeri Ltd.,Ankara,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Problem çözme becerisi, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe"
Web Geliştirici,BüyükVeri Ltd.,Ankara,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, Problem çözme becerisi"
Frontend Developer,Mobilify,İzmir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, Problem çözme becerisi"
Python Geliştiricisi,KodaYazılım,İzmir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi"
Veri Analisti,VeriPlus,Bursa,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Veri Mühendisi,Mobilify,Ankara,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Frontend Developer,Mobilify,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık"
Mobil Uygulama Geliştiricisi,DataTech,İzmir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi"
Veri Analisti,Techsoft,İstanbul,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Frontend Developer,KodaYazılım,İzmir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Frontend Developer,Mobilify,Gaziantep,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Web Geliştirici,Techsoft,Ankara,Belirtilmemiş,Belirtilmemiş
Frontend Developer,VeriPlus,Gaziantep,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi"
Frontend Developer,KodaYazılım,İstanbul,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Java Yazılım Mühendisi,DataTech,Antalya,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık"
Python Geliştiricisi,Mobilify,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi"
Python Geliştiricisi,DataTech,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,VeriPlus,Gaziantep,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi"
Mobil Uygulama Geliştiricisi,Techsoft,Bursa,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, Problem çözme becerisi"
Veri Mühendisi,Mobilify,İzmir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi"
Veri Analisti,Techsoft,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık"
Java Yazılım Mühendisi,KodaYazılım,Kocaeli,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe"
Veri Mühendisi,DeepAI,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İyi derecede İngilizce bilgisi, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi"
Veri Analisti,DataTech,Bursa,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Frontend Developer,DeepAI,Kocaeli,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,İstanbul,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Frontend Developer,WebZone,Kocaeli,Belirtilmemiş,Belirtilmemiş
Frontend Developer,DeepAI,Ankara,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,Antalya,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi"
Frontend Developer,DataTech,Bursa,Belirtilmemiş,Belirtilmemiş
Veri Analisti,Techsoft,Ankara,Belirtilmemiş,Belirtilmemiş
Veri Analisti,WebZone,Gaziantep,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,DataTech,Gaziantep,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,Techsoft,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Makine Öğrenmesi Uzmanı,VeriPlus,İzmir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi"
Web Geliştirici,BüyükVeri Ltd.,İzmir,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi"
Java Yazılım Mühendisi,KodaYazılım,Eskişehir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi"
Web Geliştirici,Techsoft,İzmir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Web Geliştirici,BüyükVeri Ltd.,Antalya,Belirtilmemiş,Belirtilmemiş
Mobil Uygulama Geliştiricisi,VeriPlus,Gaziantep,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık"
Makine Öğrenmesi Uzmanı,Techsoft,Eskişehir,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık"
Frontend Developer,BüyükVeri Ltd.,Ankara,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Python Geliştiricisi,Mobilify,Bursa,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Veri Analisti,Mobilify,İzmir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,Techsoft,İstanbul,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi"
Frontend Developer,Mobilify,Kocaeli,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Java Yazılım Mühendisi,BüyükVeri Ltd.,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Web Geliştirici,VeriPlus,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık"
Web Geliştirici,Mobilify,Gaziantep,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi"
Mobil Uygulama Geliştiricisi,Techsoft,İzmir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Java Yazılım Mühendisi,DeepAI,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Python Geliştiricisi,VeriPlus,İzmir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık"
Frontend Developer,KodaYazılım,İstanbul,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe"
Makine Öğrenmesi Uzmanı,Techsoft,İzmir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,BüyükVeri Ltd.,İstanbul,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Problem çözme becerisi, Analitik düşünme yeteneği"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,Eskişehir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,KodaYazılım,Ankara,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe"
Python Geliştiricisi,WebZone,Eskişehir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Java Yazılım Mühendisi,BüyükVeri Ltd.,Antalya,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Python Geliştiricisi,DeepAI,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak"
Frontend Developer,WebZone,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe"
Web Geliştirici,WebZone,Eskişehir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık"
Veri Analisti,KodaYazılım,Kocaeli,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Frontend Developer,VeriPlus,Gaziantep,Belirtilmemiş,Belirtilmemiş
Web Geliştirici,BüyükVeri Ltd.,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Mobil Uygulama Geliştiricisi,KodaYazılım,Eskişehir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık"
